shrinkage,simple average,simplex,simplex+entropy,simplex+ridge
1,1.15676052569615,1.3296291650137,1.32962917215644,1.3296291650137
2,1.15676052569615,1.3296291650137,1.23323362725502,1.27298900632484
3,1.15676052569615,1.3296291650137,1.20456285732053,1.24120100489207
4,1.15676052569615,1.3296291650137,1.18900127695186,1.2216202030344
5,1.15676052569615,1.3296291650137,1.17947678327312,1.20878104246293
6,1.15676052569615,1.3296291650137,1.169105012951,1.19391552029412
7,1.15676052569615,1.3296291650137,1.15678604507858,1.15675887046165
8,1.15676052569615,1.3296291650137,1.15676259705077,1.15675812238592
9,1.15676052569615,1.3296291650137,1.1567593071954,1.15675856674712
10,1.15676052569615,1.3296291650137,1.15675860082933,1.15675892167368
