shrinkage,simple average,simplex,simplex+entropy,simplex+ridge
1,1.06100897996042,1.20662439635032,1.2066243965346,1.20662439635032
2,1.06100897996042,1.20662439635032,1.11468353710418,1.14834156322923
3,1.06100897996042,1.20662439635032,1.09060419820509,1.11917825090836
4,1.06100897996042,1.20662439635032,1.07859057162782,1.10384569343644
5,1.06100897996042,1.20662439635032,1.07181845201204,1.09384126336667
6,1.06100897996042,1.20662439635032,1.065256860263,1.08275876359894
7,1.06100897996042,1.20662439635032,1.06073206068684,1.0608848136138
8,1.06100897996042,1.20662439635032,1.06085718714325,1.06094505932393
9,1.06100897996042,1.20662439635032,1.06090458566693,1.06096594847595
10,1.06100897996042,1.20662439635032,1.06092944581435,1.06097654844967
