Nmax,Simple Average,Simplex,Mixture of Best N,Mixture of Best N<=Nmax,Best N-Mixture,"Best N-Mixture, N<=Nmax"
1,1.15676052569615,1.3296291650137,2.70264477854445,2.70264477854445,2.70264477854445,2.70264477854445
2,1.15676052569615,1.3296291650137,1.62376316238032,1.6547683388471,1.63156876087527,1.63782243900293
3,1.15676052569615,1.3296291650137,1.38052821669655,1.4610350633616,1.38477349287336,1.43038206534522
4,1.15676052569615,1.3296291650137,1.29110937555627,1.39166187957267,1.30048129976828,1.38491609221363
5,1.15676052569615,1.3296291650137,1.24331587338856,1.35907112612324,1.25160587790302,1.37421620021806
6,1.15676052569615,1.3296291650137,1.22377588167035,1.33806812251783,1.22434986496817,1.37205926082043
7,1.15676052569615,1.3296291650137,1.20949386370562,1.33121472458175,1.21036479190592,1.37154489402427
8,1.15676052569615,1.3296291650137,1.19857954992964,1.32549333453312,1.19669396985761,1.37135412379344
9,1.15676052569615,1.3296291650137,1.19017125168287,1.32209345047082,1.18729272920727,1.37133280990775
10,1.15676052569615,1.3296291650137,1.18302349262427,1.32056476282326,1.18228527033914,1.37134533935382
11,1.15676052569615,1.3296291650137,1.17826336610192,1.32014683598989,1.17752265263862,1.37134533935382
12,1.15676052569615,1.3296291650137,1.17489444353743,1.31993298186822,1.1725449654817,1.37134533935382
13,1.15676052569615,1.3296291650137,1.17080876085262,1.31975834160116,1.16943721444251,1.37134533935382
14,1.15676052569615,1.3296291650137,1.16818105745212,1.31983644236336,1.1666259930775,1.37134533935382
15,1.15676052569615,1.3296291650137,1.16616625053857,1.31979536156972,1.16336068036576,1.37134533935382
16,1.15676052569615,1.3296291650137,1.16440725643922,1.31979007875314,1.1613088590267,1.37134533935382
17,1.15676052569615,1.3296291650137,1.16171151394716,1.31965133405094,1.16057767033406,1.37134533935382
18,1.15676052569615,1.3296291650137,1.15979214254724,1.31972050282371,1.15843394406497,1.37134533935382
19,1.15676052569615,1.3296291650137,1.15894965004568,1.31970965901635,1.15782117882567,1.37134533935382
20,1.15676052569615,1.3296291650137,1.15676052569615,1.31971588289366,1.15676052569615,1.37134533935382
