Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=320.MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,
2020Q1,-3.1
2019Q4,1.0
2019Q3,1.4
2019Q2,1.3
2019Q1,1.4
2018Q4,1.2
2018Q3,1.6
2018Q2,2.2
2018Q1,2.6
2017Q4,3.0
2017Q3,3.0
2017Q2,2.6
2017Q1,2.2
2016Q4,2.1
2016Q3,1.7
2016Q2,1.7
2016Q1,1.9
2015Q4,2.0
2015Q3,2.0
2015Q2,2.1
2015Q1,1.8
2014Q4,1.5
2014Q3,1.4
2014Q2,1.2
2014Q1,1.6
2013Q4,0.7
2013Q3,0.0
2013Q2,-0.4
2013Q1,-1.2
2012Q4,-1.0
2012Q3,-1.0
2012Q2,-0.8
2012Q1,-0.5
2011Q4,0.6
2011Q3,1.6
2011Q2,1.9
2011Q1,2.9
2010Q4,2.4
2010Q3,2.3
2010Q2,2.3
2010Q1,1.2
2009Q4,-2.3
2009Q3,-4.5
2009Q2,-5.4
2009Q1,-5.6
2008Q4,-2.1
2008Q3,0.1
2008Q2,1.1
2008Q1,2.2
2007Q4,2.3
2007Q3,3.0
2007Q2,3.1
2007Q1,3.5
2006Q4,3.8
2006Q3,3.2
2006Q2,3.4
2006Q1,2.9
2005Q4,2.2
2005Q3,1.9
2005Q2,1.4
2005Q1,1.5
2004Q4,1.7
2004Q3,2.1
2004Q2,2.4
2004Q1,1.9
2003Q4,1.1
2003Q3,0.5
2003Q2,0.3
2003Q1,0.8
2002Q4,1.2
2002Q3,1.2
2002Q2,0.9
2002Q1,0.4
2001Q4,1.3
2001Q3,1.9
2001Q2,2.4
2001Q1,3.1
2000Q4,3.4
2000Q3,3.9
2000Q2,4.5
2000Q1,4.2
1999Q4,4.0
1999Q3,2.9
1999Q2,2.3
1999Q1,2.2
1998Q4,1.8
1998Q3,2.8
1998Q2,3.1
1998Q1,3.9
1997Q4,3.4
1997Q3,2.7
1997Q2,2.5
1997Q1,2.0
1996Q4,1.9
1996Q3,1.8
1996Q2,1.5
1996Q1,1.2
