Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=132.STS.M.I8.S.UNEH.RTT000.4.000
,STS.M.I8.S.UNEH.RTT000.4.000
,"Euro area 19 (fixed composition) - Standardised unemployment, Rate, Total (all ages), Total (male and female); unspecified; Eurostat; Seasonally adjusted, not working day adjusted,  percentage of civilian workforce"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
2020May,7.420000
2020Apr,7.330000
2020Mar,7.140000
2020Feb,7.200000
2020Jan,7.360000
2019Dec,7.340000
2019Nov,7.370000
2019Oct,7.400000
2019Sep,7.480000
2019Aug,7.500000
2019Jul,7.560000
2019Jun,7.530000
2019May,7.570000
2019Apr,7.640000
2019Mar,7.700000
2019Feb,7.760000
2019Jan,7.800000
2018Dec,7.840000
2018Nov,7.910000
2018Oct,8.010000
2018Sep,8.000000
2018Aug,8.030000
2018Jul,8.100000
2018Jun,8.210000
2018May,8.240000
2018Apr,8.380000
2018Mar,8.450000
2018Feb,8.520000
2018Jan,8.610000
2017Dec,8.650000
2017Nov,8.710000
2017Oct,8.780000
2017Sep,8.880000
2017Aug,8.980000
2017Jul,9.050000
2017Jun,9.060000
2017May,9.180000
2017Apr,9.220000
2017Mar,9.370000
2017Feb,9.430000
2017Jan,9.550000
2016Dec,9.650000
2016Nov,9.770000
2016Oct,9.770000
2016Sep,9.870000
2016Aug,9.900000
2016Jul,9.970000
2016Jun,10.090000
2016May,10.150000
2016Apr,10.220000
2016Mar,10.240000
2016Feb,10.360000
2016Jan,10.370000
2015Dec,10.460000
2015Nov,10.490000
2015Oct,10.600000
2015Sep,10.620000
2015Aug,10.670000
2015Jul,10.770000
2015Jun,10.980000
2015May,11.030000
2015Apr,11.090000
2015Mar,11.190000
2015Feb,11.190000
2015Jan,11.270000
2014Dec,11.350000
2014Nov,11.520000
2014Oct,11.510000
2014Sep,11.510000
2014Aug,11.480000
2014Jul,11.580000
2014Jun,11.520000
2014May,11.660000
2014Apr,11.710000
2014Mar,11.790000
2014Feb,11.870000
2014Jan,11.920000
2013Dec,11.880000
2013Nov,11.910000
2013Oct,11.950000
2013Sep,12.030000
2013Aug,12.020000
2013Jul,12.050000
2013Jun,12.060000
2013May,12.070000
2013Apr,12.100000
